"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
15,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,30,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895654277608,4069895654286381,4069895656860331,4069895656877258,2573950
16,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,34,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895656929139,4069895656937931,4069895659510441,4069895659530001,2572510
17,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,34,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895659574998,4069895659583402,4069895662135112,4069895662155702,2551710
18,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,38,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895662202613,4069895662213352,4069895664757542,4069895664776543,2544190
19,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,38,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895664823063,4069895664831783,4069895667374692,4069895667395730,2542909
20,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,42,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895667443713,4069895667452293,4069895669986882,4069895670008806,2534589
21,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,42,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895670053383,4069895670063363,4069895672600833,4069895672637833,2537470
22,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,46,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895672658282,4069895672667393,4069895675204063,4069895675244306,2536670
23,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,46,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895675263112,4069895675273343,4069895677810653,4069895677850257,2537310
24,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,50,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895677867271,4069895677875454,4069895680411323,4069895680448675,2535869
25,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,50,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895680466930,4069895680475484,4069895683010393,4069895683050418,2534909
26,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,54,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895683067942,4069895683074714,4069895685603863,4069895685645068,2529149
27,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,54,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895685662262,4069895685671224,4069895688209013,4069895688247453,2537789
